condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1976,21,3,0.9985,0.978968,0.996,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1997,2,1,0.9995,0.997999,0.998,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,text,ciq,42,2000,1811,183,6,0.997,0.816449,0.974,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,text,icq,42,2000,1974,21,5,0.9975,0.978947,0.9765,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,text,ciq,42,2000,1862,102,36,0.982,0.89613,0.905,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,text,icq,42,2000,1945,52,3,0.9985,0.947922,0.96,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,text_only,text,icq,42,2000,1999,0,1,0.9995,1.0,0.9995,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,image_only,image,icq,42,2000,1930,0,70,0.965,1.0,0.9615,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1977,23,0,1.0,0.977,0.989,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1983,16,1,0.9995,0.983992,0.9755,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,image,ciq,42,2000,1988,12,0,1.0,0.988,0.9925,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,image,icq,42,2000,1913,86,1,0.9995,0.913957,0.975,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,image,ciq,42,2000,1989,10,1,0.9995,0.989995,0.9905,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_text,inconsistent,image,icq,42,2000,1999,1,0,1.0,0.999,0.9845,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1962,31,7,0.9965,0.968891,0.993,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1992,7,1,0.9995,0.992996,0.994,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,text,ciq,42,2000,1792,201,7,0.9965,0.798294,0.973,0
none,Qwen/Qwen2.5-VL-32B-Instruct,mscoco,test,image_document,inconsistent,text,icq,42,2000,1898,83,19,0.9905,0.916204,0.939,0
