model,dataset,intervention,layer_idx,layer_depth,split,seed,arm,target_modality,n,correct,misled,neither,p_valid,selectivity
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,44,intervention,text,100,52,33,15,0.85,0.223529
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,42,intervention,image,100,86,4,10,0.9,0.911111
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,42,intervention,text,100,32,50,18,0.82,-0.219512
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,43,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,43,intervention,image,100,84,5,11,0.89,0.88764
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,43,intervention,text,100,29,51,20,0.8,-0.275
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,44,baseline,text,100,79,21,0,1.0,0.58
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,47,1.0,val,44,intervention,image,100,83,5,12,0.88,0.886364
